epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,34033.9,0.49308,1.68321,0.79855,0.45712,0.36037,0.38938,0.36671,0.39682,1.34951,0.78091,0.006139,0.006139,0.006139
119,34324.3,0.49229,1.67051,0.79849,0.46887,0.35451,0.38998,0.36714,0.39672,1.33671,0.78111,0.006106,0.006106,0.006106
120,34614.8,0.49481,1.69351,0.7984,0.4468,0.36983,0.39146,0.36885,0.39604,1.32597,0.78087,0.006073,0.006073,0.006073
121,34904.6,0.49266,1.67912,0.79862,0.45837,0.36143,0.38928,0.36636,0.39586,1.33245,0.78066,0.00604,0.00604,0.00604
122,35194.7,0.49562,1.67581,0.79855,0.45179,0.36666,0.39204,0.36947,0.39573,1.33605,0.78079,0.006007,0.006007,0.006007
123,35485.1,0.49173,1.67447,0.79823,0.46198,0.36323,0.39202,0.3687,0.39848,1.32528,0.78103,0.005974,0.005974,0.005974
124,35774.9,0.49123,1.67106,0.79839,0.46073,0.36459,0.395,0.37171,0.39764,1.32085,0.78097,0.005941,0.005941,0.005941
125,36065.4,0.49195,1.67172,0.79828,0.47159,0.35958,0.39384,0.37077,0.39677,1.31732,0.78085,0.005908,0.005908,0.005908
126,36356.1,0.49304,1.66811,0.79918,0.46561,0.35898,0.39136,0.36861,0.39638,1.335,0.78113,0.005875,0.005875,0.005875
127,36646.2,0.48968,1.65735,0.7973,0.46167,0.36563,0.39428,0.37129,0.39615,1.31991,0.78077,0.005842,0.005842,0.005842
128,36936.2,0.49008,1.6623,0.79715,0.45949,0.36645,0.39243,0.36944,0.39524,1.32503,0.78084,0.005809,0.005809,0.005809
129,37225.7,0.49119,1.63323,0.7977,0.46833,0.3647,0.39716,0.37411,0.39534,1.31765,0.78083,0.005776,0.005776,0.005776
130,37515,0.49036,1.64849,0.79788,0.46883,0.3701,0.40036,0.377,0.39624,1.31706,0.78091,0.005743,0.005743,0.005743
131,37804.3,0.48964,1.61908,0.7982,0.47514,0.36615,0.39717,0.37404,0.3946,1.31741,0.78087,0.00571,0.00571,0.00571
132,38093.2,0.49045,1.64859,0.79797,0.46115,0.37569,0.40106,0.37765,0.39479,1.30467,0.78076,0.005677,0.005677,0.005677
133,38382.8,0.48681,1.6324,0.79691,0.46611,0.37183,0.40082,0.37744,0.39472,1.30043,0.78074,0.005644,0.005644,0.005644
134,38672,0.49024,1.6229,0.79729,0.46334,0.37654,0.40311,0.37951,0.39495,1.30483,0.78093,0.005611,0.005611,0.005611
135,38961.4,0.4916,1.64433,0.79807,0.47212,0.37103,0.40149,0.37789,0.39752,1.30641,0.78119,0.005578,0.005578,0.005578
136,39250,0.48626,1.61482,0.79791,0.47704,0.37431,0.40793,0.38462,0.39413,1.29306,0.78052,0.005545,0.005545,0.005545
